ID,Category,Question,Problem Link,Companies,Difficulty,Status
1,Arrays,Maximum and Minimum Element in an Array,https://www.geeksforgeeks.org/maximum-and-minimum-in-an-array/, ABCO Accolite Amazon Cisco Hike Microsoft Snapdeal VMWare Google Adobe,,
2,Arrays,Reverse the Array,https://www.geeksforgeeks.org/write-a-program-to-reverse-an-array-or-string/, Infosys Moonfrog Labs,,
3,Arrays,Maximum-Subarray,https://leetcode.com/problems/maximum-subarray/,Microsoft + Facebook Interview Qs,,
4,Arrays,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,Amazon Interview Qs,,
5,Arrays,Chocolate Distribution Problem,https://www.geeksforgeeks.org/chocolate-distribution-problem/,Amazon Interview Qs,,
6,Arrays,Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/, Microsoft Google Adobe Amazon D-E-Shaw Flipkart Hike Intuit MakeMyTrip Paytm ,,
7,Arrays,Next Permutation,https://leetcode.com/problems/next-permutation/,Uber + Goldman Sachs + Adobe Interview Qs,,
8,Arrays,Best time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,Amazon D-E-Shaw Directi Flipkart Goldman Sachs Intuit MakeMyTrip Microsoft Ola Cabs Oracle Paytm Pubmatic Quikr Salesforce Sapient Swiggy Walmart Media.net Google,,
9,Arrays,Repeat and Missing Number Array,https://www.interviewbit.com/problems/repeat-and-missing-number-array/,Amazon Interview Qs,,
10,Arrays,Kth-Largest Element in an Array,https://leetcode.com/problems/kth-largest-element-in-an-array/, Amazon Microsoft Walmart Adobe,,
11,Arrays,Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/,Samsung Interview Qs,,
12,Arrays,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,Microsoft + Facebook Interview Qs,,
13,Arrays,Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/,Amazon D-E-Shaw Microsoft Morgan Stanley OYO Rooms Google,,
14,Arrays,Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/, Adobe Amazon Microsoft Morgan Stanley Samsung Snapdeal Times Internet,,
15,Arrays,Find Pair with Sum in Sorted & Rotated Array,https://www.geeksforgeeks.org/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/?ref=lbp,Microsoft + Google + Apple Interview Qs,,
16,Arrays,3Sum,https://leetcode.com/problems/3sum/, Adobe Amazon Microsoft Morgan Stanley Samsung Snapdeal Times Internet,,
17,Arrays,Container With Most Water,https://leetcode.com/problems/container-with-most-water/,Flipkart + Dunzo Interview Qs,,
18,Arrays,Given Sum Pair,https://www.geeksforgeeks.org/given-a-sorted-and-rotated-array-find-if-there-is-a-pair-with-a-given-sum/,Infosys + Amazon + Flipkart Interview Qs,,
19,Arrays,Kth - Smallest Element,https://practice.geeksforgeeks.org/problems/kth-smallest-element5635/1, ABCO Accolite Amazon Cisco Hike Microsoft Snapdeal VMWare Google Adobe,,
20,Arrays,Merge Overlapping Intervals,https://www.geeksforgeeks.org/merging-intervals/,Google Interview Qs,,
21,Arrays,Find Minimum Number of Merge Operations to Make an Array Palindrome,https://www.geeksforgeeks.org/find-minimum-number-of-merge-operations-to-make-an-array-palindrome/,Amazon,,
22,Arrays,Given an Array of Numbers Arrange the Numbers to Form the Biggest Number,https://www.geeksforgeeks.org/given-an-array-of-numbers-arrange-the-numbers-to-form-the-biggest-number/,Barclays Interview Qs,,
23,Arrays,Space Optimization Using Bit Manipulations,https://www.geeksforgeeks.org/space-optimization-using-bit-manipulations/,Amazon,,
24,Arrays,Subarray Sum Divisible K,https://www.geeksforgeeks.org/longest-subarray-sum-divisible-k/, Snapdeal Microsoft,,
25,Arrays,Print all Possible Combinations of r Elements in a Given Array of Size n,https://www.geeksforgeeks.org/print-all-possible-combinations-of-r-elements-in-a-given-array-of-size-n/,Amazon,,
26,Arrays,Mo's Algorithm,https://www.geeksforgeeks.org/mos-algorithm-query-square-root-decomposition-set-1-introduction/,Microsoft,,
27,Strings,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/, Amazon Cisco D-E-Shaw Facebook FactSet Morgan Stanley Paytm Zoho,,
28,Strings,Valid Anagram,https://leetcode.com/problems/valid-anagram/, Nagarro Media.net Directi Google Adobe Flipkart,,
29,Strings,Valid parentheses,https://leetcode.com/problems/valid-parentheses/,Google Interview Qs,,
